top_contributions,original_top_values,predicted_top_values,loss,label
"{""Fwd Seg Size Min"": {""Dst Port"": -7.225104468138862e-06, ""Flow Duration"": 3.0261517290745843e-06, ""Tot Fwd Pkts"": 1.294368628412353e-06, ""Reconstruction Error"": 0.1649582851201265}, ""Protocol"": {""Dst Port"": -6.585465848694544e-06, ""Flow Duration"": 9.416309790025685e-06, ""Tot Fwd Pkts"": 6.03633465162409e-06, ""Reconstruction Error"": 0.11037776798356347}, ""Init Fwd Win Byts"": {""PSH Flag Cnt"": 0.00018271756601706546, ""Dst Port"": -9.665968963740671e-06, ""Protocol"": -3.4082268601192053e-06, ""Reconstruction Error"": 0.015642569621840442}}","{""Fwd Seg Size Min"": 0.5, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.0156402587890625}","{""Fwd Seg Size Min"": 19.995228, ""Protocol"": 6.0008764, ""Init Fwd Win Byts"": 8196.62}",0.0005374173239082,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -3.352956160345355e-06, ""Protocol"": 9.118695499029545e-06, ""Flow Duration"": -9.981225650194744e-06, ""Reconstruction Error"": 0.15936767181229758}, ""Protocol"": {""URG Flag Cnt"": 0.0008176065711409133, ""Dst Port"": -2.4956798457625017e-06, ""Protocol"": 6.946176013471856e-06, ""Reconstruction Error"": 0.11037980765464699}, ""Init Fwd Win Byts"": {""PSH Flag Cnt"": 0.0005287021145133345, ""Init Fwd Win Byts"": 0.00017193460048631337, ""Dst Port"": 4.4569680807668e-06, ""Reconstruction Error"": 0.015641962122359132}}","{""Fwd Seg Size Min"": 0.8333333333333334, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.0009765625}","{""Fwd Seg Size Min"": 19.995356, ""Protocol"": 6.000929, ""Init Fwd Win Byts"": 8196.446}",0.0033660401737471,Infilteration
"{""ACK Flag Cnt"": {""Dst Port"": 9.644494143692452e-06, ""Protocol"": -2.0866914813383606e-06, ""Flow Duration"": -1.2020379615928052e-06, ""Reconstruction Error"": 0.32604873698437586}, ""Fwd Seg Size Min"": {""Bwd IAT Min"": 0.00011666356826896393, ""Dst Port"": -3.728768222244926e-06, ""Protocol"": 3.072934865877866e-06, ""Reconstruction Error"": 0.16016352485037194}, ""PSH Flag Cnt"": {""Dst Port"": 1.6056139496417423e-06, ""Protocol"": -1.9210326624096904e-06, ""Flow Duration"": 6.112528961899065e-07, ""Reconstruction Error"": 0.11947168878766323}}","{""ACK Flag Cnt"": -5.596969156829443e-06, ""Fwd Seg Size Min"": 0.8333333333333334, ""PSH Flag Cnt"": -7.207278418352161e-08}","{""ACK Flag Cnt"": 0.5710068, ""Fwd Seg Size Min"": 20.043142, ""PSH Flag Cnt"": 0.34564677}",0.026729535447274,Infilteration
"{""Fwd Seg Size Min"": {""FIN Flag Cnt"": 0.0005004793711594688, ""URG Flag Cnt"": 0.0003565306341372631, ""Reconstruction Error"": 6.95288997524913e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669}","{""Fwd Seg Size Min"": 0.040100098}",0.0218056894643226,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -6.7399005168349934e-06, ""Protocol"": -2.1162154725108536e-06, ""Flow Duration"": -1.9692765301186483e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Protocol"": 5.824768003809855e-06, ""Flow Duration"": -7.254866156467017e-06, ""Tot Fwd Pkts"": 5.6131650941081256e-08, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": -2.189953791552366e-06, ""Protocol"": -3.769385755412204e-06, ""Flow Duration"": -3.5206712509112746e-08, ""Reconstruction Error"": 0.02742036489919366}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.0009918212890625}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10852.17}",0.0005337950312384,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -8.049845955123632e-06, ""Protocol"": -2.9691613178587945e-06, ""Flow Duration"": 8.531674350731463e-06, ""Reconstruction Error"": 0.1649582851201265}, ""Protocol"": {""Dst Port"": 5.789034963005016e-06, ""Protocol"": 8.554271343436904e-06, ""Flow Duration"": 2.1166925558418143e-07, ""Reconstruction Error"": 0.11037776798356347}, ""Init Fwd Win Byts"": {""Dst Port"": 3.2370195044803622e-06, ""Protocol"": 8.017553416952364e-06, ""Flow Duration"": -9.92917312129711e-06, ""Reconstruction Error"": 0.015642569621840442}}","{""Fwd Seg Size Min"": 0.5, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.0156402587890625}","{""Fwd Seg Size Min"": 19.995228, ""Protocol"": 6.0008764, ""Init Fwd Win Byts"": 8196.62}",0.0005232856644676,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": -8.790133595352944e-06, ""Protocol"": 2.5779408450221268e-06, ""Flow Duration"": 9.724989567087246e-06, ""Reconstruction Error"": 0.16075632572466603}, ""Protocol"": {""PSH Flag Cnt"": 0.00033647298133254733, ""Dst Port"": 5.30024234092454e-06, ""Flow Duration"": -7.196215675902855e-06, ""Reconstruction Error"": 0.11037927298176371}, ""Init Fwd Win Byts"": {""Dst Port"": 8.311301486884673e-06, ""Protocol"": 1.8031827240293408e-06, ""Flow Duration"": -1.662190975744678e-07, ""Reconstruction Error"": 0.015642140742638866}}","{""Fwd Seg Size Min"": 0.75, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 7.62939453125e-05}","{""Fwd Seg Size Min"": 19.995327, ""Protocol"": 6.000915, ""Init Fwd Win Byts"": 8196.492}",0.0024499281275574,Infilteration
"{""Fwd Seg Size Min"": {""Dst Port"": 8.467169724654428e-06, ""Protocol"": -6.7101839304240455e-06, ""Flow Duration"": 6.184424871993525e-06, ""Reconstruction Error"": 0.16657229983044797}, ""Protocol"": {""Dst Port"": -3.7119408369290633e-06, ""Protocol"": 6.132497410545048e-06, ""Flow Duration"": -6.759663474720514e-06, ""Reconstruction Error"": 0.11054266587079623}, ""Bwd Pkts/s"": {""Dst Port"": 2.6806550636758063e-06, ""Protocol"": 7.135465755861365e-06, ""Flow Duration"": -2.9687631882835343e-06, ""Reconstruction Error"": 5.7090786919093835e-05}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Bwd Pkts/s"": 0.10000000000000002}","{""Fwd Seg Size Min"": 20.007036, ""Protocol"": 6.005094, ""Bwd Pkts/s"": 15111.788}",0.0102804081922589,Infilteration
"{""Fwd Seg Size Min"": {""FIN Flag Cnt"": 0.006510334211511455, ""Fwd Seg Size Min"": 0.0012939835040244188, ""Dst Port"": -6.236942309640914e-07, ""Reconstruction Error"": 0.16936828550238578}, ""Protocol"": {""Protocol"": 0.005646592654279531, ""Bwd IAT Tot"": 0.003145565206110903, ""Bwd IAT Mean"": 0.0006089810936870699, ""Reconstruction Error"": 0.1087823614381498}, ""Dst Port"": {""Dst Port"": -2.295717209769985e-06, ""Protocol"": -2.403315099884451e-08, ""Flow Duration"": 7.702787148360837e-06, ""Reconstruction Error"": 0.01934529098276938}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Dst Port"": 0.8241397726405738}","{""Fwd Seg Size Min"": 20.170769, ""Protocol"": 5.9599104, ""Dst Port"": 9115.913}",0.0070492640519666,Infilteration
"{""Fwd Seg Size Min"": {""Fwd Seg Size Min"": 0.000768107093616327, ""PSH Flag Cnt"": 0.00044027951392765403, ""Dst Port"": 6.553061595711667e-06, ""Reconstruction Error"": 0.16637066900625225}, ""Protocol"": {""Dst Port"": -2.6366664978557515e-06, ""Protocol"": 5.090452797126323e-07, ""Flow Duration"": 5.312737408881906e-06, ""Reconstruction Error"": 0.11037755015572658}, ""Init Fwd Win Byts"": {""Dst Port"": -8.284180552698856e-06, ""Protocol"": -3.154854503994522e-07, ""Flow Duration"": 3.992620756093104e-06, ""Reconstruction Error"": 0.01564225652313673}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Fwd Win Byts"": 0.1250152587890625}","{""Fwd Seg Size Min"": 19.995176, ""Protocol"": 6.000871, ""Init Fwd Win Byts"": 8196.647}",0.0112414225448337,Infilteration
